username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;v_neg;v_neu;v_pos;v_com;tb_score
;2019-06-23 18:37;0;0;"# rvmmvs # prada # ysl # cash # diamond # lvmh # private # car # money # gold # vip # rich # angra # belize # marinabay # capri # dubai # london # palmbeach # miami # portocervo # trancoso # noronha # bluewater # brava # ibiza # stbarths… https://www.instagram.com/p/BzEb3X0hNtE/?igshid=mgn685mwvw42 …";;;# # # # # # # # # # # # # # # # # # # # # # # # # # #;"1142924758184583168";https://twitter.com/RVMMVS/status/1142924758184583168;0.000000;0.721000;0.279000;0.851900;0.187500
;2019-06-23 18:12;0;1;"Elle n’a pas honte de se foutre de la gueule de gens dans la panade ? Au moins son mari, il l’a joué reglo : « serez que des blaireaux feignants, pas foutus de vous habiller chez # LVMH comme ma greluche ! » # MacronCulEtChemise";;;# #;"1142918496394915840";https://twitter.com/PavNoir/status/1142918496394915840;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-23 18:12;0;0;"Trekking # backpack in # monogram by # LouisVuitton # Paris # perfect for your journey across # France # LVMH # fAMWorldwidepic.twitter.com/iDrLHHyp3n";;;# # # # # # # #;"1142918493144276992";https://twitter.com/fam_worldwide/status/1142918493144276992;0.000000;0.791000;0.209000;0.571900;1.000000
;2019-06-23 17:47;1;1;"ルイヴィトンも持つ # LVMH グループがブロックチェーン導入 : https://twitter.com/naoyafujiwara/status/1142796457432367111 …";;;#;"1142912182616764416";https://twitter.com/kisoseri/status/1142912182616764416;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-23 16:49;1;0;"CELINE Men's Spring Summer 2020 by Hedi Slimane - only one model show - experimental # CELINE # CELINEBYHEDISLIMANE # HEDISLIMANE # experiential # daring # onemanshow # fashion # luxury # LVMH @ LVMHpic.twitter.com/MhIlEA6qxX";;@;# # # # # # # # #;"1142897538653179904";https://twitter.com/cppluxury/status/1142897538653179904;0.000000;0.898000;0.102000;0.361200;0.050000
;2019-06-23 14:25;3;23;"Celine 04 - Paris Les Invalides # Celine # LVMH # HediSlimanepic.twitter.com/Clwx0ZNsLv";;;# # #;"1142861303578583040";https://twitter.com/JCTrehan/status/1142861303578583040;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-23 10:48;0;0;"The # pride of # southaustralia # australia is owned by # lvmh # louisvuitton # sivousplait @RM Williams https://www.instagram.com/p/BzDmI6IBDrA/?igshid=5caou7upp37p …";;@RM;# # # # # #;"1142806615911018496";https://twitter.com/JTrika/status/1142806615911018496;0.000000;0.821000;0.179000;0.340000;0.000000
;2019-06-23 10:33;0;0;"Nice lunch # lvmh # arnault # ftlunchhttps://www.ft.com/content/21f64410-9117-11e9-aea1-2b1d33ac3271 …";;;# # #;"1142802763509841920";https://twitter.com/cvdbogaert/status/1142802763509841920;0.000000;0.588000;0.412000;0.421500;0.600000
;2019-06-23 09:51;0;0;"$100 mill club # LVMH Bernard Arnauld BIG FISH!!! https://www.forbes.com/sites/luisakroll/2019/06/22/luxury-goods-titan-bernard-arnault-becomes-worlds-third-100-billion-man/ …";;;#;"1142792368611090432";https://twitter.com/DonPvpa_RSNY/status/1142792368611090432;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-23 08:45;0;1;"# ceinturelouisvuitton T:100cm # louisvuitton # louisvuittonmonmonogram # louisvuittondamier # louisvuittonparis # lvmh # louisvuittonshoes # louisvuittonsupreme # supremeparis # supreme # virgilabloh # depotventeluxe # gaymodel… https://www.instagram.com/p/BzDYD-FIQYQ/?igshid=7z30xw91ijwj …";;;# # # # # # # # # # # # #;"1142775672907153408";https://twitter.com/lacompagniedesh/status/1142775672907153408;0.000000;0.783000;0.217000;0.557400;0.000000
;2019-06-23 08:43;0;2;"बर्नार्ड अरनॉल्टच्या संपत्तीत वाढ; बनले जगातील तिसरे श्रीमंत व्यक्ती http://bit.ly/2XujuTh # LVMH # उद्योजक # BernardArnault # Billionaire # businesspic.twitter.com/HVwiIdFcGb";;;# # # # #;"1142775245637423104";https://twitter.com/NaviArthkranti/status/1142775245637423104;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-23 08:01;5;11;"# LVMH brands, # LouisVuitton and # Dior are adopting # blockchain technology to # authenticate the original source of products. Expect an # app allowing users to scan a # QR Code and receive confirmation on whether or not that product is legit. Highsnobietyhttp://bit.ly/31MR32d";;;# # # # # # #;"1142764726201540609";https://twitter.com/polanskiswain/status/1142764726201540609;0.000000;0.940000;0.060000;0.318200;0.375000
;2019-06-23 06:13;0;1;"Skönt utbud på korvkiosken vid Brandenburger tor i Berlin. ”Jag tar en pommes-tallrik och en flaska dompa” # LVMH pic.twitter.com/8pbeDHRfuB";;;#;"1142737539142443008";https://twitter.com/aktiehesten/status/1142737539142443008;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-23 06:10;3;9;"When # BernardArnault visited the US for the first time (around 1971), he asked a New York taxi driver what he knew of France. “He could not name the president but he knew # Dior” (via @ HarrietAgnew @ FT) # LVMH # LunchWiththeFT # luxury # ChristianDior https://www.ft.com/content/21f64410-9117-11e9-aea1-2b1d33ac3271 …pic.twitter.com/dMtJlo0Hcu";;@ @;# # # # # #;"1142736573357809664";https://twitter.com/IfmParis/status/1142736573357809664;0.000000;1.000000;0.000000;0.000000;0.193182
;2019-06-23 05:56;0;0;"# LVMH Creates # Blockchain Technology to Track Luxury Goods and Fight Fakes http://www.globalethicalbanking.com/lvmh-creates-blockchain-technology-track-luxury-goods-fight-fakes/ … via @ Ethical_Banking";;@;# #;"1142733177401892864";https://twitter.com/Ethical_Banking/status/1142733177401892864;0.309000;0.571000;0.120000;-0.510600;0.000000
;2019-06-23 03:42;1;0;"Oui ! Merci Bernard ! # LVMH # BernardArnaultpic.twitter.com/3w8eLH5fcI";;;# #;"1142699319348408320";https://twitter.com/YannisPSD/status/1142699319348408320;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-23 03:25;0;1;"# LVMH n'est pas une réussite française? Je suis tout à fait disposé à lire un point de vue sourcé et http://xn--argument-i1a.Laargumenté.La critique sur la délocalisation et la mondialisation pour # LVMH est incompréhensible.";;;# #;"1142695077803909120";https://twitter.com/jvhatchi/status/1142695077803909120;0.051000;0.949000;0.000000;-0.128000;0.000000
;2019-06-22 23:32;0;1;"@ Ardbeg Drum, el primer # singlemalt de la destilería del grupo @ LVMH madurado en antiguas barricas de Ron. # cocktails # gourmet # Drinking # whisky # scotch # Ardbeg # ardbegdrum # whiskycollection # lvmh Más información en nuestra web https://www.madridinout.com/ardbeg_drum vía @ madridinandout";;@ @ @;# # # # # # # # # #;"1142636502893105153";https://twitter.com/lahorainandout/status/1142636502893105153;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 23:29;0;2;"@ Ardbeg Drum, el primer # singlemalt de la destilería del grupo @ LVMH madurado en antiguas barricas de Ron. # foodie # bartenderlife # gourmet # Drinking # whisky # scotch # Ardbeg # ardbegdrum # LVMH Más información en nuestra web https://www.madridinout.com/ardbeg_drum vía @ madridinandout";;@ @ @;# # # # # # # # # #;"1142635672571916288";https://twitter.com/madridinandout/status/1142635672571916288;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 19:39;1;0;"C’est bien flou tous ces chiffres balancés, en veux tu en voilà. Il y a combien d’ateliers # LVMH en France ?";;;#;"1142577788584693761";https://twitter.com/JakoPasto1/status/1142577788584693761;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 14:43;0;2;"# Breaking @ MillerValue # Value # Investing @ rogerfederer # LVMH # Macron # taxes # Brands # Euro # Dior @ LaszloBirinyi # China # Africa # Trade # VUITTON会長1億円企画 # BernardArnault ‘I always liked being number one’https://www.ft.com/content/21f64410-9117-11e9-aea1-2b1d33ac3271?segmentid=acee4131-99c2-09d3-a635-873e61754ec6 …";;@ @ @;# # # # # # # # # # # # # #;"1142503510015172609";https://twitter.com/JohnSpall247/status/1142503510015172609;0.000000;0.755000;0.245000;0.670500;0.600000
;2019-06-22 14:07;0;0;"Luxury Goods Titan Bernard Arnault Becomes World’s Third $100 Billion Man # LVMH https://www.forbes.com/sites/luisakroll/2019/06/22/luxury-goods-titan-bernard-arnault-becomes-worlds-third-100-billion-man/ …";;;#;"1142494416126562304";https://twitter.com/allenchoo/status/1142494416126562304;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 13:47;2;1;"« Under Bernard Arnault’s tenure the group has grown from around 12,000 to 156,000 people, hiring between 12,000 and 15,000 people each year » (Bernard Arnault via @ HarrietAgnew). # LVMH # BernardArnault # LunchWiththeFT # luxury # jobs # emploi # luxehttps://twitter.com/FinancialTimes/status/1142182963456741376 …";;@;# # # # # # #;"1142489274597675008";https://twitter.com/IfmParis/status/1142489274597675008;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 13:44;0;1;"« The word luxury is a little hackneyed. I prefer ‘product of high quality’. What matters most is that in 10 years’ time our brands are as desirable as today » (Bernard Arnault via @ HarrietAgnew). # LVMH # BernardArnault # LunchWiththeFThttps://twitter.com/FinancialTimes/status/1142182963456741376 …";;@;# # #;"1142488516955451396";https://twitter.com/IfmParis/status/1142488516955451396;0.000000;0.904000;0.096000;0.340000;0.157500
;2019-06-22 12:50;1;0;"LVMH owned luxury e-tailer 24S to introduce menswear this autumn https://cpp-luxury.com/lvmh-owned-luxury-e-tailer-24s-to-introduce-menswear-this-autumn/ … # LVMH # 24S # CELINE # online # luxuryetailer # luxurysales # luxurybrands # fashion # ecommerce @ LVMHpic.twitter.com/So0SzEuVHB";;@;# # # # # # # # #;"1142474863266975744";https://twitter.com/cppluxury/status/1142474863266975744;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 12:44;0;0;"« I always liked being number one. We are still small. We’re just getting started. This is very fun. We are number one, but we can go further » (Bernard Arnault via @ HarrietAgnew). # LVMH # BernardArnault # LunchWiththeFThttps://twitter.com/FinancialTimes/status/1142182963456741376 …";;@;# # #;"1142473334480887809";https://twitter.com/IfmParis/status/1142473334480887809;0.000000;0.817000;0.183000;0.541800;0.185000
;2019-06-22 11:08;0;1;"RIMOWA | Handcrafted with LOVE in Canada For Everyone Happy Pride # PRIDE # pridemonth # equality # rimowa # lvmh # lifeJourney # fashion # style # luxury # luggage # travel # memory # story # yorkville… https://www.instagram.com/p/BzBDnkRglsJ/?igshid=16a1gv4akzef7 …";;;# # # # # # # # # # # # # #;"1142449245934370816";https://twitter.com/IvanMao9/status/1142449245934370816;0.000000;0.585000;0.415000;0.934500;0.650000
;2019-06-22 10:40;1;1;"Le luxe, champion de la croissance 2019 http://sco.lt/6c2z4 # luxe # business # Chine # LabLUXURYandRETAIL2025 : http://goo.gl/9u19bM # LVMH # Kering # Hermès # France # économie # LuxuryRetail # boutique # magasin # LabLUXURYandRETAILpic.twitter.com/DYBW327qkq";;;# # # # # # # # # # # # #;"1142442142184476674";https://twitter.com/JeromeMONANGE/status/1142442142184476674;0.000000;0.830000;0.170000;0.599400;0.000000
;2019-06-22 09:29;0;0;"# LVMH @ ericbrunet Brigitte # Macron : "" S'ils n'ont pas de pains qu'ils mangent de la brioche """;;@;# #;"1142424348202082309";https://twitter.com/jeanluclaurent7/status/1142424348202082309;0.157000;0.843000;0.000000;-0.421500;0.000000
;2019-06-22 08:55;0;1;"# LVMH # Moët # Hennessy # Louis # Vuitton # France # Francia # Paris # Luxury # Brand # Shoes # Bags # Wine # Watch # Jewels # TradeOnTrading # Trade # On # Trading # Elliott # Elliottwave # Fibonacci # Ritracciamenti # Pitchfork # Signals # Trader # Bull # Bear # Buy # Sell https://tradeontrading.blogspot.com/2019/06/il-0106-httpstradeontrading.html …pic.twitter.com/Vo3wtf6G5z";;;# # # # # # # # # # # # # # # # # # # # # # # # # # # # # #;"1142415776936333312";https://twitter.com/TradeOnTrading/status/1142415776936333312;0.000000;0.909000;0.091000;0.458800;0.000000
;2019-06-22 08:47;0;2;"Always wondered how anything vaguely capitalist got very far in France - given the image I have of a populace that is largely socialist and averse to risk taking. Interview with Bernard Arnault, a shrewd operator: https://www.ft.com/content/21f64410-9117-11e9-aea1-2b1d33ac3271 … # LVMH # FRA # LuxuryBrandspic.twitter.com/0KlIWn215F";;;# # #;"1142413836475076609";https://twitter.com/MBAvaluehound/status/1142413836475076609;0.058000;0.942000;0.000000;-0.273200;-0.051905
;2019-06-22 08:08;1;1;"Fashion labels like Louis Vuitton and Gucci focus on sustainability - Business Insider # sustainability # fashion # luxury # balenciaga # lvmh https://www.businessinsider.com/fashion-labels-like-louis-vuitton-and-gucci-focus-on-sustainability-2019-6 …";;;# # # # #;"1142403863158411264";https://twitter.com/ptnyc/status/1142403863158411264;0.000000;0.865000;0.135000;0.361200;0.000000
;2019-06-22 07:37;0;0;"Est-ce trop demander à @ BFMTV de préciser que son " # chroniqueur_politique" # DenisDemonpion, 65 ans, est ex-salarié # AFP ou # Libération actuellement @ lobs, propriété de # matthieupigasse et # XavierNiel époux de Delphine, fille # BernardArnault ( # LVMH)? pic.twitter.com/ygbXavFq0F";;@ @;# # # # # # # #;"1142396080224722944";https://twitter.com/JLdeFerrieres/status/1142396080224722944;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 07:29;0;2;"FENTY x LVMH @ badgalriri takes the spotlight this week with her new launch of 6-19 Release on @ fenty # rihanna # fenty # fentybeauty # badgalriri # riri # ririfashion # rihannafenty # fashion # fashionupdates # style # inspiration # fashioninspo # celebritynews # fentyxlvmh # LVMH pic.twitter.com/XR1tCg4ypj";;@ @;# # # # # # # # # # # # # # #;"1142394293732048901";https://twitter.com/BONDFeed/status/1142394293732048901;0.000000;0.904000;0.096000;0.526700;0.136364
;2019-06-22 06:59;0;0;"Le jour où vous aurez créé autant d'emplois que # BernardArnault et promu le savoir faire français dans le monde entier comme # LVMH vous aurez le droit de l'ouvrir. En attendant fermez la Vous nous saoulez avec votre posture soviétique !";;;# #;"1142386632454287360";https://twitter.com/PhDieudonne/status/1142386632454287360;0.000000;1.000000;0.000000;0.000000;0.250000
;2019-06-22 06:12;3;0;"Ahora hay tres personas en el mundo que poseen más de $100,000 millones de dólares - La Opinión http://dlvr.it/R74RXd # BernardArnault # christiandior # LouisVuitton # LVMH # millonariopic.twitter.com/pvUxaWvv9e";;;# # # # #;"1142374828415934464";https://twitter.com/peruenlanoticia/status/1142374828415934464;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 05:41;0;0;"Entre # BernardArnault qui est toujours en France # LVMH est qui une des marques préférées des français y compris pour y travailler et tous ceux qui sont partis en Suisse,Belgique vous vous trompez de combat.Pendant ce temps rien sur # Zuckerberg qui pille tranquillement vos données";;;# # #;"1142366929249800192";https://twitter.com/callbass/status/1142366929249800192;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 04:40;0;2;"# LVMH A mi ni caso eh? https://invst.ly/b2ry4";;;#;"1142351634086989824";https://twitter.com/AirForceMaiden/status/1142351634086989824;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 04:37;0;0;"LVMH creates blockchain technology to track luxury goods and fight fakes - Designboom # Blockchain # Creates # Designboom # fakes # fight # goods # luxury # LVMH # Technology # Track http://bit.ly/2Xwozu8 pic.twitter.com/hi12Aa7k66";;;# # # # # # # # # #;"1142350818076704769";https://twitter.com/BT_RSS_FEED/status/1142350818076704769;0.337000;0.531000;0.131000;-0.765000;0.000000
;2019-06-22 04:22;2;3;"Read why Louis Vuitton parent organization LVMH are adding themselves to the ever-growing list of business giants rapidly adopting blockchain technology. https://www.highsnobiety.com/p/lvmh-blockchain/ … # louisvuitton # blockchain # veridocglobal # lvmh # dior # blockchaintechnology # counterfeits";;;# # # # # # #;"1142347064463917056";https://twitter.com/VeriDocGlobal/status/1142347064463917056;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 04:04;0;1;"Always a pleasure to create these # DARELVMH testimonial videos: the 57 # LVMH intrapreneurs from around the world who attended the DARE Acceleration Days are so inspiring. https://twitter.com/LVMH/status/1141390139823939584 …";;;# #;"1142342550105329664";https://twitter.com/theKapharnaum/status/1142342550105329664;0.000000;0.700000;0.300000;0.856100;0.500000
;2019-06-22 03:52;1;0;"Si les salariés de # LVMH ne sont pas ingrats, son tweet fera au moins 32000 like; on est à...250. Ce ne serait pas du luxe, pas vrai Bernard ? https://twitter.com/ericbrunet/status/1142100744822231041 …";;;#;"1142339598200311808";https://twitter.com/claudecorse/status/1142339598200311808;0.000000;0.915000;0.085000;0.361200;0.000000
;2019-06-22 02:53;0;0;"https://youtu.be/wRZvHxUJUoE The making of # LVMH";;;#;"1142324821428248577";https://twitter.com/Archalaan/status/1142324821428248577;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-22 00:57;0;0;"# lvmh # investinghttps://twitter.com/ivan_brussels/status/1142072513956143105 …";;;# #;"1142295600467070977";https://twitter.com/HedgeRock/status/1142295600467070977;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 18:43;0;1;"Smart. # LouisVuitton # LVMH # design # luxury # fashion # handbags # Technologyhttps://twitter.com/designboom/status/1142167827283099648 …";;;# # # # # # #;"1142201303373877249";https://twitter.com/SelinaGiGi/status/1142201303373877249;0.000000;0.722000;0.278000;0.401900;0.214286
;2019-06-21 18:42;0;0;"Bernard Arnault, der Gründer der # LVMH-Gruppe, schließt sich dem sehr geschlossenen Kreis der "centimilliardaires" an, zu denen beispielsweise J. Bezos (Amazon) oder B. Gates (Microsoft) gehören. Er wurde damit der erste Franzose, dessen Vermögen 100 Milliarden Dollar überschritt https://twitter.com/GiletsJaunesGo/status/1141437646281068544 …";;;#;"1142201230392999936";https://twitter.com/WorriedJust/status/1142201230392999936;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 18:02;0;0;"“Karl For Ever”, a tribute to the exceptional couturier at the Grand Palais in Paris - LVMH # KarlForever # LVMH https://www.lvmh.com/news-documents/news/karl-for-ever-a-tribute-to-the-exceptional-couturier-at-the-grand-palais-in-paris/ …";;;# #;"1142191180949708801";https://twitter.com/HelenCShelton/status/1142191180949708801;0.000000;0.842000;0.158000;0.458800;0.583333
;2019-06-21 17:19;0;0;"Sauf que rien n’a redémarré comme prévu et l’argent destiné à Boussac est parti dans l’OPA sur # LVMH";;;#;"1142180148231528450";https://twitter.com/JFPascal80/status/1142180148231528450;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 17:01;0;0;"# Arnailt a reprit Boussac avec la promesse de sauver les emplois et il a juste prit quelques actifs, l’argent pour l’OPA sur # LVMH et licencier beaucoup de monde";;;# #;"1142175781810057221";https://twitter.com/JFPascal80/status/1142175781810057221;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 17:00;0;0;"Non BA a détourner des subventions d’Etat destinées à la reprise Boussac pour faire une OPA sur # LVMH, et il a aussi bénéficié comme Pinault and ci des largesses du Crédit Lyonnais";;;#;"1142175399079829504";https://twitter.com/JFPascal80/status/1142175399079829504;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 16:56;0;0;"Une succession story pas pour tout le monde, les salariés Boussac ont dérouillé et # LVMH existait avant Arnault, ce groupe, avec d’autres actionnaires auraient pu faire avoir d’autres succès, mais ainsi va l’histoire, Arnault à flairé le bon coup";;;#;"1142174480992804865";https://twitter.com/JFPascal80/status/1142174480992804865;0.089000;0.866000;0.045000;-0.202300;0.000000
;2019-06-21 16:48;0;0;"Non quand il donne un milliard à Arnault sans contreparties ce n’est pas le rôle de l’état, investissement = prise de participation et contreparties, reliser la reprise de Boussac et l’OPA sur # LVMH, pourquoi ne pas donner des aides à d’autres à ce moment là";;;#;"1142172427746762752";https://twitter.com/JFPascal80/status/1142172427746762752;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 16:38;0;0;"Non BA s’est conduit en bon opportuniste en récupérant les actifs les mieux mais en dégageant la majorité du groupe Boussac et puis avec l’argent de l’Etat il a fait son OPA sur # LVMH";;;#;"1142170042399895554";https://twitter.com/JFPascal80/status/1142170042399895554;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 16:19;0;0;"Mouarf. Le groupe CGE dans les années 70, c'est 200000 salariés, 1500 filiales dans le monde. Donc le p'tit bonhomme de # LVMH il a encore du boulot.";;;#;"1142165259400155136";https://twitter.com/olive1900/status/1142165259400155136;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 16:08;1;10;"Quand la Fête de la musique rime avec 150ème Anniversaire de la Cuvée Moët Impérial..... @ pavillonledoyen. # insidemoet # moet # lvmh # champagne # fetedelamusiquepic.twitter.com/Blm654UTGr";;@;# # # # #;"1142162413162291200";https://twitter.com/ericpa77/status/1142162413162291200;0.000000;0.901000;0.099000;0.296000;0.000000
;2019-06-21 16:03;0;1;"Vive la fête de la musique . Celebrating 150 years of Moët & Chandon @ pavillonledoyen. # insidemoet # moet # lvmh # champagne # fetedelamusiquepic.twitter.com/CJixUlNF3I – bei Pavillon Ledoyen";;@;# # # # #;"1142161090584948736";https://twitter.com/BriJDalton/status/1142161090584948736;0.000000;0.763000;0.237000;0.709600;0.000000
;2019-06-21 15:51;1;0;"Mais si et je n’ai rien contre, mais # LVMH existait avant # Arnault et est-ce que l’Etat avait à donner autant d’argents publics? # Arnault prône le libéralisme mais c’est servi des aides publiques pour acheter # LVMH, qu’il le reconnaisse et pas d’hypocrisie";;;# # # #;"1142158135160913920";https://twitter.com/JFPascal80/status/1142158135160913920;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 15:23;0;2;"Le problème c’est la fortune faite grâce aux gavages d’aides publiques, # Arnault a payé sont OPA sur # LVMH avec beaucoup d’argent de l’Etat";;;# #;"1142151073156739073";https://twitter.com/JFPascal80/status/1142151073156739073;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 15:10;1;1;"Et alors, ça donne le droit d'exploiter les gens..??.. Et de gagner 100 fois le # smic en une journée.. # Macron # Arnault # LVMH # GiletsJaunes";;;# # # # #;"1142147917773492224";https://twitter.com/loran076/status/1142147917773492224;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-06-21 14:55;0;0;"Oui mais à l’époque cela a permit à # Arnault de payer une partie de l’OPA pour devenir propriétaire de # LVMH";;;# #;"1142144061538820101";https://twitter.com/JFPascal80/status/1142144061538820101;0.000000;1.000000;0.000000;0.000000;0.000000
